customer_id,product_id,sales_transaction_date,,dealership_id,,,,,,,,,,
1,7,19-07-2017 00:00,08:38:00,,,,,,,,,,,
22,7,14-08-2017 00:00,09:59:00,20,,,,,,,,,,
145,7,20-01-2019 00:00,10:40:00,,,,,,,,,,,
289,7,09-05-2017 00:00,14:20:00,7,,,,,,,,,,
331,7,21-05-2019 00:00,20:03:00,4,,,,,,,,,,
334,7,14-06-2017 00:00,11:37:00,5,,,,,,,,,,
396,7,26-02-2019 00:00,09:25:00,10,,,,,,,,,,
564,7,15-11-2017 00:00,01:28:00,3,,,,,,,,,,
586,7,25-06-2017 00:00,22:53:00,18,,,,,,,,,,
681,7,13-01-2019 00:00,08:28:00,5,,,,,,,,,,
806,7,27-10-2017 00:00,11:56:00,14,,,,,,,,,,
981,7,03-07-2017 00:00,21:40:00,,,,,,,,,,,
988,7,18-04-2019 00:00,05:21:00,6,,,,,,,,,,
1039,7,19-10-2016 00:00,22:17:00,1,,,,,,,,,,
1620,7,26-10-2018 00:00,09:18:00,,,,,,,,,,,
1698,7,12-07-2017 00:00,01:07:00,,,,,,,,,,,
1769,7,20-05-2019 00:00,08:46:00,18,,,,,,,,,,
1889,7,29-10-2017 00:00,23:51:00,,,,,,,,,,,
2129,7,04-05-2017 00:00,10:12:00,,,,,,,,,,,
2405,7,07-06-2017 00:00,22:49:00,,,,,,,,,,,
2430,7,01-11-2018 00:00,03:30:00,5,,,,,,,,,,
2463,7,03-12-2017 00:00,16:48:00,,,,,,,,,,,
2491,7,09-09-2017 00:00,10:31:00,14,,,,,,,,,,
2519,7,27-03-2017 00:00,00:44:00,7,,,,,,,,,,
2545,7,09-03-2017 00:00,22:19:00,18,,,,,,,,,,
2777,7,02-06-2018 00:00,10:49:00,1,,,,,,,,,,
2906,7,13-01-2019 00:00,20:33:00,,,,,,,,,,,
3142,7,20-05-2017 00:00,20:06:00,,,,,,,,,,,
3231,7,01-08-2018 00:00,22:01:00,16,,,,,,,,,,
3433,7,17-05-2019 00:00,13:56:00,1,,,,,,,,,,
3582,7,30-09-2017 00:00,16:56:00,19,,,,,,,,,,
3609,7,01-08-2017 00:00,21:11:00,3,,,,,,,,,,
3821,7,27-01-2017 00:00,08:49:00,14,,,,,,,,,,
4366,7,27-12-2017 00:00,01:11:00,4,,,,,,,,,,
4525,7,10-02-2018 00:00,00:53:00,1,,,,,,,,,,
